hand_id,serial_no,hand_type,image_path,file_exists,file_ext,file_size
hand_01,01,修长手,D:\AI_Project\nail\美甲图\手图URL\01.png,1,.png,1337412
hand_02,02,肉肉手,D:\AI_Project\nail\美甲图\手图URL\02.png,1,.png,1440833
hand_03,03,修长手,D:\AI_Project\nail\美甲图\手图URL\03.png,1,.png,1373979
hand_04,04,匀称手,D:\AI_Project\nail\美甲图\手图URL\04.png,1,.png,1474270
hand_05,05,骨节手,D:\AI_Project\nail\美甲图\手图URL\05.png,1,.png,1508057
hand_06,06,匀称手,D:\AI_Project\nail\美甲图\手图URL\06.png,1,.png,1465777
hand_07,07,修长手,D:\AI_Project\nail\美甲图\手图URL\07.png,1,.png,1478002
hand_08,08,修长手,D:\AI_Project\nail\美甲图\手图URL\08.png,1,.png,1384352
hand_09,09,肉肉手,D:\AI_Project\nail\美甲图\手图URL\09.png,1,.png,1567468
hand_10,10,骨节手,D:\AI_Project\nail\美甲图\手图URL\10.png,1,.png,1249686
hand_11,11,骨节手,D:\AI_Project\nail\美甲图\手图URL\11.png,1,.png,1844841
hand_12,12,肉肉手,D:\AI_Project\nail\美甲图\手图URL\12.png,1,.png,1391032
hand_13,13,修长手,D:\AI_Project\nail\美甲图\手图URL\13.png,1,.png,1383612
