image_id,style_id,image_type,image_path,file_exists,file_ext,file_size
style_01_original,style_01,original,D:\AI_Project\nail\美甲图\原始款式图URL\01.png,1,.png,1075477
style_01_enhanced,style_01,enhanced,D:\AI_Project\nail\美甲图\增强后款式图URL\01.png,1,.png,1221491
style_01_style_url,style_01,style_url,D:\AI_Project\nail\美甲图\款式图URL\01.png,1,.png,1221491
style_02_original,style_02,original,D:\AI_Project\nail\美甲图\原始款式图URL\02.png,1,.png,1246574
style_02_enhanced,style_02,enhanced,D:\AI_Project\nail\美甲图\增强后款式图URL\02.png,1,.png,1421427
style_02_style_url,style_02,style_url,D:\AI_Project\nail\美甲图\款式图URL\02.png,1,.png,1421427
style_03_original,style_03,original,D:\AI_Project\nail\美甲图\原始款式图URL\03.png,1,.png,1155924
style_03_enhanced,style_03,enhanced,D:\AI_Project\nail\美甲图\增强后款式图URL\03.png,1,.png,1442019
style_03_style_url,style_03,style_url,D:\AI_Project\nail\美甲图\款式图URL\03.png,1,.png,1442019
style_04_original,style_04,original,D:\AI_Project\nail\美甲图\原始款式图URL\04.jpg,1,.jpg,167903
style_04_enhanced,style_04,enhanced,D:\AI_Project\nail\美甲图\增强后款式图URL\04.png,1,.png,1419247
style_04_style_url,style_04,style_url,D:\AI_Project\nail\美甲图\款式图URL\04.png,1,.png,1419247
style_05_original,style_05,original,D:\AI_Project\nail\美甲图\原始款式图URL\05.jpg,1,.jpg,261514
style_05_enhanced,style_05,enhanced,D:\AI_Project\nail\美甲图\增强后款式图URL\05.png,1,.png,1961389
style_05_style_url,style_05,style_url,D:\AI_Project\nail\美甲图\款式图URL\05.png,1,.png,1961389
style_06_original,style_06,original,D:\AI_Project\nail\美甲图\原始款式图URL\06.png,1,.png,1057335
style_06_enhanced,style_06,enhanced,D:\AI_Project\nail\美甲图\增强后款式图URL\06.png,1,.png,1291166
style_06_style_url,style_06,style_url,D:\AI_Project\nail\美甲图\款式图URL\06.png,1,.png,1291166
style_07_original,style_07,original,D:\AI_Project\nail\美甲图\原始款式图URL\07.png,1,.png,1123627
style_07_enhanced,style_07,enhanced,D:\AI_Project\nail\美甲图\增强后款式图URL\07.png,1,.png,1261101
style_07_style_url,style_07,style_url,D:\AI_Project\nail\美甲图\款式图URL\07.png,1,.png,1261101
style_08_original,style_08,original,D:\AI_Project\nail\美甲图\原始款式图URL\08.png,1,.png,996286
style_08_enhanced,style_08,enhanced,D:\AI_Project\nail\美甲图\增强后款式图URL\08.png,1,.png,1454656
style_08_style_url,style_08,style_url,D:\AI_Project\nail\美甲图\款式图URL\08.png,1,.png,1454656
style_09_original,style_09,original,D:\AI_Project\nail\美甲图\原始款式图URL\09.png,1,.png,1063942
style_09_enhanced,style_09,enhanced,D:\AI_Project\nail\美甲图\增强后款式图URL\09.png,1,.png,1334062
style_09_style_url,style_09,style_url,D:\AI_Project\nail\美甲图\款式图URL\09.png,1,.png,1334062
style_10_original,style_10,original,D:\AI_Project\nail\美甲图\原始款式图URL\10.png,1,.png,1460094
style_10_enhanced,style_10,enhanced,D:\AI_Project\nail\美甲图\增强后款式图URL\10.png,1,.png,1401714
style_10_style_url,style_10,style_url,D:\AI_Project\nail\美甲图\款式图URL\10.png,1,.png,1401714
style_11_original,style_11,original,D:\AI_Project\nail\美甲图\原始款式图URL\11.png,1,.png,896438
style_11_enhanced,style_11,enhanced,D:\AI_Project\nail\美甲图\增强后款式图URL\11.png,1,.png,1470606
style_11_style_url,style_11,style_url,D:\AI_Project\nail\美甲图\款式图URL\11.png,1,.png,1470606
style_12_original,style_12,original,D:\AI_Project\nail\美甲图\原始款式图URL\12.png,1,.png,1180529
style_12_enhanced,style_12,enhanced,D:\AI_Project\nail\美甲图\增强后款式图URL\12.png,1,.png,1534373
style_12_style_url,style_12,style_url,D:\AI_Project\nail\美甲图\款式图URL\12.png,1,.png,1534373
style_13_original,style_13,original,D:\AI_Project\nail\美甲图\原始款式图URL\13.png,1,.png,1087649
style_13_enhanced,style_13,enhanced,D:\AI_Project\nail\美甲图\增强后款式图URL\13.png,1,.png,1549984
style_13_style_url,style_13,style_url,D:\AI_Project\nail\美甲图\款式图URL\13.png,1,.png,1549984
style_14_original,style_14,original,D:\AI_Project\nail\美甲图\原始款式图URL\14.png,1,.png,1005960
style_14_enhanced,style_14,enhanced,D:\AI_Project\nail\美甲图\增强后款式图URL\14.png,1,.png,1267184
style_14_style_url,style_14,style_url,D:\AI_Project\nail\美甲图\款式图URL\14.png,1,.png,1267184
style_15_original,style_15,original,D:\AI_Project\nail\美甲图\原始款式图URL\15.png,1,.png,1052442
style_15_enhanced,style_15,enhanced,D:\AI_Project\nail\美甲图\增强后款式图URL\15.png,1,.png,1338550
style_15_style_url,style_15,style_url,D:\AI_Project\nail\美甲图\款式图URL\15.png,1,.png,1338550
style_16_original,style_16,original,D:\AI_Project\nail\美甲图\原始款式图URL\16.png,1,.png,1089012
style_16_enhanced,style_16,enhanced,D:\AI_Project\nail\美甲图\增强后款式图URL\16.png,1,.png,1477113
style_16_style_url,style_16,style_url,D:\AI_Project\nail\美甲图\款式图URL\16.png,1,.png,1477113
style_17_original,style_17,original,D:\AI_Project\nail\美甲图\原始款式图URL\17.png,1,.png,1137747
style_17_enhanced,style_17,enhanced,D:\AI_Project\nail\美甲图\增强后款式图URL\17.png,1,.png,1369801
style_17_style_url,style_17,style_url,D:\AI_Project\nail\美甲图\款式图URL\17.png,1,.png,1369801
style_18_original,style_18,original,D:\AI_Project\nail\美甲图\原始款式图URL\18.png,1,.png,960529
style_18_enhanced,style_18,enhanced,D:\AI_Project\nail\美甲图\增强后款式图URL\18.png,1,.png,1651037
style_18_style_url,style_18,style_url,D:\AI_Project\nail\美甲图\款式图URL\18.png,1,.png,1651037
