style_id,tag_type,tag_name,source_column,weight
style_01,甲型,椭圆,甲型,1.0
style_01,手型,修长手,推荐手型,1.0
style_01,长度,短,长度,1.0
style_01,款式,纯色,款式1,1.0
style_01,颜色,裸杏色,颜色,0.8
style_02,甲型,方形,甲型,1.0
style_02,手型,匀称手,推荐手型,1.0
style_02,长度,中,长度,1.0
style_02,款式,跳色,款式1,1.0
style_02,款式,纯色,款式2,0.9000000000000001
style_02,颜色,橄榄绿,颜色,0.8
style_02,颜色,米白,颜色,0.8
style_02,颜色,焦糖,颜色,0.8
style_03,甲型,方圆,甲型,1.0
style_03,手型,匀称手,推荐手型,1.0
style_03,长度,短,长度,1.0
style_03,款式,格纹,款式1,1.0
style_03,款式,跳色,款式2,0.9000000000000001
style_03,款式,立体钻饰,款式3,0.8
style_03,颜色,黑色,颜色,0.8
style_03,颜色,粉红,颜色,0.8
style_03,颜色,棕色,颜色,0.8
style_04,甲型,椭圆,甲型,1.0
style_04,手型,修长手,推荐手型,1.0
style_04,长度,中,长度,1.0
style_04,款式,镜面,款式1,1.0
style_04,款式,亮片,款式2,0.9000000000000001
style_04,款式,纯色,款式3,0.8
style_04,颜色,香槟金,颜色,0.8
style_04,颜色,灰白,颜色,0.8
style_05,甲型,方形,甲型,1.0
style_05,手型,匀称手,推荐手型,1.0
style_05,长度,短,长度,1.0
style_05,款式,豹纹,款式1,1.0
style_05,款式,纯色,款式2,0.9000000000000001
style_05,款式,细边法式,款式3,0.8
style_05,颜色,奶白,颜色,0.8
style_05,颜色,黑色斑点,颜色,0.8
style_05,颜色,裸粉,颜色,0.8
style_06,甲型,梯形,甲型,1.0
style_06,手型,修长手,推荐手型,1.0
style_06,长度,长,长度,1.0
style_06,款式,立体钻饰,款式1,1.0
style_06,款式,渐变,款式2,0.9000000000000001
style_06,款式,亮片,款式3,0.8
style_06,颜色,裸粉,颜色,0.8
style_06,颜色,透明,颜色,0.8
style_06,颜色,香槟金,颜色,0.8
style_07,甲型,尖头型,甲型,1.0
style_07,手型,修长手,推荐手型,1.0
style_07,长度,长,长度,1.0
style_07,款式,豹纹,款式1,1.0
style_07,款式,亮片,款式2,0.9000000000000001
style_07,颜色,银色亮片,颜色,0.8
style_07,颜色,棕色豹纹,颜色,0.8
style_08,甲型,尖头型,甲型,1.0
style_08,手型,修长手,推荐手型,1.0
style_08,长度,长,长度,1.0
style_08,款式,单条法式猫眼,款式1,1.0
style_08,款式,立体钻饰,款式2,0.9000000000000001
style_08,款式,猫眼,款式3,0.8
style_08,颜色,黑色,颜色,0.8
style_08,颜色,裸透,颜色,0.8
style_08,颜色,银闪,颜色,0.8
style_09,甲型,椭圆,甲型,1.0
style_09,手型,修长手,推荐手型,1.0
style_09,长度,长,长度,1.0
style_09,款式,手绘,款式1,1.0
style_09,款式,纯色,款式2,0.9000000000000001
style_09,颜色,黑色,颜色,0.8
style_09,颜色,裸透,颜色,0.8
style_10,甲型,梯形,甲型,1.0
style_10,手型,修长手,推荐手型,1.0
style_10,长度,长,长度,1.0
style_10,款式,手绘,款式1,1.0
style_10,款式,细边法式,款式2,0.9000000000000001
style_10,颜色,裸粉,颜色,0.8
style_10,颜色,白色,颜色,0.8
style_11,甲型,杏仁,甲型,1.0
style_11,手型,修长手,推荐手型,1.0
style_11,长度,长,长度,1.0
style_11,款式,贴纸,款式1,1.0
style_11,款式,手绘,款式2,0.9000000000000001
style_11,颜色,裸透,颜色,0.8
style_11,颜色,白色樱花,颜色,0.8
style_12,甲型,杏仁,甲型,1.0
style_12,手型,修长手,推荐手型,1.0
style_12,长度,长,长度,1.0
style_12,款式,手绘,款式1,1.0
style_12,款式,日系,款式2,0.9000000000000001
style_12,款式,高位法式,款式3,0.8
style_12,颜色,裸透,颜色,0.8
style_12,颜色,黑色,颜色,0.8
style_13,甲型,梯形,甲型,1.0
style_13,手型,修长手,推荐手型,1.0
style_13,长度,长,长度,1.0
style_13,款式,手绘,款式1,1.0
style_13,款式,立体钻饰,款式2,0.9000000000000001
style_13,颜色,裸透,颜色,0.8
style_13,颜色,珠光,颜色,0.8
style_13,颜色,银色,颜色,0.8
style_14,甲型,杏仁,甲型,1.0
style_14,手型,修长手,推荐手型,1.0
style_14,长度,长,长度,1.0
style_14,款式,单色渐变,款式1,1.0
style_14,款式,镜面,款式2,0.9000000000000001
style_14,颜色,奶白,颜色,0.8
style_14,颜色,裸粉,颜色,0.8
style_15,甲型,方形,甲型,1.0
style_15,手型,肉肉手,推荐手型,1.0
style_15,长度,短,长度,1.0
style_15,款式,跳色,款式1,1.0
style_15,款式,格纹,款式2,0.9000000000000001
style_15,款式,手绘,款式3,0.8
style_15,颜色,橙红,颜色,0.8
style_15,颜色,酒红,颜色,0.8
style_15,颜色,雾粉,颜色,0.8
style_15,颜色,浅蓝,颜色,0.8
style_15,颜色,米色,颜色,0.8
style_16,甲型,椭圆,甲型,1.0
style_16,手型,匀称手,推荐手型,1.0
style_16,长度,短,长度,1.0
style_16,款式,砂糖粉,款式1,1.0
style_16,款式,渐变,款式2,0.9000000000000001
style_16,颜色,玫红,颜色,0.8
style_16,颜色,粉色,颜色,0.8
style_16,颜色,裸色,颜色,0.8
style_17,甲型,梯形,甲型,1.0
style_17,手型,肉肉手,推荐手型,1.0
style_17,长度,长,长度,1.0
style_17,款式,立体钻饰,款式1,1.0
style_17,款式,珍珠,款式2,0.9000000000000001
style_17,款式,细边法式,款式3,0.8
style_17,颜色,裸色,颜色,0.8
style_17,颜色,米白,颜色,0.8
style_17,颜色,珍珠白,颜色,0.8
style_18,甲型,梯形,甲型,1.0
style_18,手型,修长手,推荐手型,1.0
style_18,长度,长,长度,1.0
style_18,款式,立体钻饰,款式1,1.0
style_18,款式,纯色,款式2,0.9000000000000001
style_18,颜色,裸透,颜色,0.8
style_18,颜色,彩色钻,颜色,0.8
style_19,甲型,杏仁,甲型,1.0
style_19,手型,修长手,推荐手型,1.0
style_19,长度,长,长度,1.0
style_19,款式,立体钻饰,款式1,1.0
style_19,款式,亮片,款式2,0.9000000000000001
style_19,款式,豹纹,款式3,0.8
style_19,颜色,香槟金,颜色,0.8
style_19,颜色,棕色豹纹,颜色,0.8
style_20,甲型,杏仁,甲型,1.0
style_20,手型,修长手,推荐手型,1.0
style_20,长度,长,长度,1.0
style_20,款式,豹纹,款式1,1.0
style_20,款式,立体钻饰,款式2,0.9000000000000001
style_20,款式,亮片,款式3,0.8
style_20,颜色,裸粉,颜色,0.8
style_20,颜色,银色亮片,颜色,0.8
style_20,颜色,棕色豹纹,颜色,0.8
style_21,甲型,方圆,甲型,1.0
style_21,手型,修长手,推荐手型,1.0
style_21,长度,短,长度,1.0
style_21,款式,金箔,款式1,1.0
style_21,款式,立体钻饰,款式2,0.9000000000000001
style_21,款式,细边法式,款式3,0.8
style_21,颜色,裸色,颜色,0.8
style_21,颜色,金箔,颜色,0.8
style_21,颜色,蓝色,颜色,0.8
style_21,颜色,祖母绿,颜色,0.8
style_22,甲型,梯形,甲型,1.0
style_22,手型,修长手,推荐手型,1.0
style_22,长度,中,长度,1.0
style_22,款式,镜面,款式1,1.0
style_22,颜色,玫瑰金,颜色,0.8
style_23,甲型,杏仁,甲型,1.0
style_23,手型,修长手,推荐手型,1.0
style_23,长度,长,长度,1.0
style_23,款式,渐变,款式1,1.0
style_23,款式,立体钻饰,款式2,0.9000000000000001
style_23,颜色,裸色,颜色,0.8
style_23,颜色,奶白,颜色,0.8
style_24,甲型,圆形,甲型,1.0
style_24,手型,修长手,推荐手型,1.0
style_24,长度,短,长度,1.0
style_24,款式,亮片,款式1,1.0
style_24,款式,砂糖粉,款式2,0.9000000000000001
style_24,颜色,透明,颜色,0.8
style_24,颜色,多彩亮片,颜色,0.8
style_25,甲型,方形,甲型,1.0
style_25,手型,修长手,推荐手型,1.0
style_25,长度,中,长度,1.0
style_25,款式,渐变法式,款式1,1.0
