style_id,serial_no,nail_shape,recommended_hand_type,nail_length,primary_style,color_text
style_01,01,椭圆,修长手,短,纯色,裸杏色
style_02,02,方形,匀称手,中,跳色,橄榄绿+米白+焦糖
style_03,03,方圆,匀称手,短,格纹,黑色+粉红+棕色
style_04,04,椭圆,修长手,中,镜面,香槟金+灰白
style_05,05,方形,匀称手,短,豹纹,奶白+黑色斑点+裸粉
style_06,06,梯形,修长手,长,立体钻饰,裸粉+透明+香槟金
style_07,07,尖头型,修长手,长,豹纹,银色亮片+棕色豹纹
style_08,08,尖头型,修长手,长,单条法式猫眼,黑色+裸透+银闪
style_09,09,椭圆,修长手,长,手绘,黑色+裸透
style_10,10,梯形,修长手,长,手绘,裸粉+白色
style_11,11,杏仁,修长手,长,贴纸,裸透+白色樱花
style_12,12,杏仁,修长手,长,手绘,裸透+黑色
style_13,13,梯形,修长手,长,手绘,裸透+珠光+银色
style_14,14,杏仁,修长手,长,单色渐变,奶白+裸粉
style_15,15,方形,肉肉手,短,跳色,橙红+酒红+雾粉+浅蓝+米色
style_16,16,椭圆,匀称手,短,砂糖粉,玫红+粉色+裸色
style_17,17,梯形,肉肉手,长,立体钻饰,裸色+米白+珍珠白
style_18,18,梯形,修长手,长,立体钻饰,裸透+彩色钻
style_19,19,杏仁,修长手,长,立体钻饰,香槟金+棕色豹纹
style_20,20,杏仁,修长手,长,豹纹,裸粉+银色亮片+棕色豹纹
style_21,21,方圆,修长手,短,金箔,裸色+金箔+蓝色+祖母绿
style_22,22,梯形,修长手,中,镜面,玫瑰金
style_23,23,杏仁,修长手,长,渐变,裸色+奶白
style_24,24,圆形,修长手,短,亮片,透明+多彩亮片
style_25,25,方形,修长手,中,渐变法式,酒红+裸色
