source_row,category,secondary_category,tag_name,suitable_hand_types,unsuitable_hand_types,definition
2,甲型,圆形甲,圆形,全部适用,短粗手,
3,甲型,圆形甲,椭圆,肉肉手、短粗手、匀称手,,
4,甲型,方形甲,方形,尖锥手、匀称手、骨节手,短粗手,
5,甲型,方形甲,方圆,尖锥手、匀称手,,
6,甲型,方形甲,梯形,尖锥手、匀称手、骨节手,,
7,甲型,尖形甲,杏仁,匀称手、修长手、肉肉手,,
8,甲型,尖形甲,尖头型,匀称手,肉肉手、尖锥手、骨节手,
9,手型,尖锥手,尖锥手,,,手指上细下粗，指根粗指尖细，整体呈尖锥状
10,手型,骨节手,骨节手,,,手指骨节突出明显，手部细纹多，整体偏干瘦
11,手型,修长手,修长手,,,手指纤细又长，手部比例完美，整体线条流畅
12,手型,匀称手,匀称手,,,手掌和手指宽度一致，指尖指根粗细均匀，无明显短板
13,手型,肉肉手,肉肉手,,,手指圆润有肉感，甲面偏短宽方，整体手型显短
14,手型,短粗手,短粗手,,,手指短且粗，手掌偏宽，长宽比例接近
15,长度,短,短,,,
16,长度,中,中,,,
17,长度,长,长,,,
18,款式,渐变,腮红渐变,,,
19,款式,渐变,对角渐变,,,
20,款式,渐变,三色渐变,,,
21,款式,渐变,空间渐变,,,
22,款式,渐变,反渐变,,,
23,款式,渐变,上下渐变,,,
24,款式,渐变,单色渐变,,,
25,款式,渐变,中间渐变,,,
26,款式,猫眼,宽型猫眼,,,
27,款式,猫眼,微笑猫眼,,,
28,款式,猫眼,法式猫眼,,,
29,款式,猫眼,追光猫眼,,,
30,款式,猫眼,经典猫眼,,,
31,款式,猫眼,混夭绫猫眼,,,
32,款式,猫眼,渐变猫眼,,,
33,款式,猫眼,反渐变猫眼,,,
34,款式,猫眼,弧形猫眼,,,
35,款式,猫眼,十字猫眼,,,
36,款式,猫眼,黑洞猫眼,,,
37,款式,猫眼,单条法式猫眼,,,
38,款式,法式,高位法式,,,
39,款式,法式,标准法式,,,
40,款式,法式,圆法式,,,
41,款式,法式,平法式,,,
42,款式,法式,爱心法式,,,
43,款式,法式,交叉法式,,,
44,款式,法式,斜法式,,,
45,款式,法式,V型法式,,,
46,款式,法式,细边法式,,,
47,款式,法式,梯形法式,,,
48,款式,法式,轮廓法式,,,
49,款式,法式,圣诞法式,,,
50,款式,法式,镂空法式,,,
51,款式,法式,反渐变法式,,,
52,款式,法式,渐变法式,,,
53,款式,其他,金箔,,,
54,款式,其他,珍珠,,,
55,款式,其他,链条,,,
56,款式,其他,贝壳,,,
57,款式,其他,砂糖粉,,,
58,款式,其他,干花,,,
59,款式,其他,极光纸,,,
60,款式,其他,钢珠,,,
61,款式,其他,转印纸,,,
62,款式,其他,贴纸,,,
63,款式,其他,平底钻,,,
64,款式,其他,亮片,,,
65,款式,其他,立体钻饰,,,
66,款式,其他,金属片,,,
67,款式,其他,尖底钴,,,
68,款式,其他,晕染,,,
69,款式,其他,手绘,,,
70,款式,其他,镜面,,,
71,款式,其他,纯色,,,
72,款式,其他,磨砂,,,
73,款式,其他,浮雕立体,,,
74,款式,其他,日系,,,
75,款式,其他,韩系,,,
76,款式,其他,欧美,,,
77,款式,其他,中式,,,
78,款式,其他,主题,,,
79,款式,其他,跳色,,,
80,款式,其他,格纹,,,
81,款式,其他,豹纹,,,
82,款式,其他,魔镜粉,,,
83,热搜,,热搜,,,
251,标签,,标签,,,
